Name,Muscle Group,Equipment,Category,Aliases,Type
Incline Machine Chest Press,chest,machine,compound,"Incline Machine Press, Incline Chest Press Machine",strength
Incline Neutral Grip Dumbbell Press,chest,dumbbell,compound,Incline Hammer Grip DB Press,strength
Incline Push Up,chest,bodyweight,compound,"Incline Push-Up, Incline Pushup, Elevated Push Up",bodyweight
Incline Push Up on Smith Machine,chest,machine,compound,Smith Machine Incline Push Up,strength
Incline Single Arm Cable Fly,chest,cable,isolation,One Arm Incline Cable Fly,strength
Incline Smith Machine Bench Press,chest,machine,compound,Incline Smith Bench,strength
Incline Smith Machine Press,chest,machine,compound,Smith Incline Press,strength
Iso Hold Dumbbell Bench Press,chest,dumbbell,compound,Iso DB Bench,holds
Iso Lateral Chest Press Machine,chest,machine,compound,ISO Lateral Chest Press,strength
Isometric Push Up Hold,chest,bodyweight,isolation,Push Up ISO Hold,holds
Kettlebell Bench Press,chest,kettlebell,compound,KB Bench Press,strength
Kettlebell Floor Press,chest,kettlebell,compound,KB Floor Press,strength
Lacrosse Ball Pec,chest,other,isolation,Pec Lacrosse Ball Release,strength
Landmine Press,chest,barbell,compound,Landmine Chest Press,strength
Larsen Press,chest,barbell,compound,"Feet Up Bench Press, Larsen Bench Press",strength
Lengthened Partial Cable Fly,chest,cable,isolation,Stretch Focused Cable Fly,strength
Low Cable Crossover,chest,cable,isolation,Low Cable Cross,strength
Low Cable Fly,chest,cable,isolation,"Low to High Cable Fly, Low Cable Flye, Cable Low Fly",strength
Low Incline Barbell Press,chest,barbell,compound,Low Incline BB Press,strength
Low Incline Dumbbell Press,chest,dumbbell,compound,"Low Incline DB Press, 30 Degree DB Press",strength
Lying Single Arm Cable Fly,chest,cable,isolation,Lying One Arm Cable Fly,strength
Machine Chest Press,chest,machine,compound,"Chest Press Machine, Seated Chest Press, Machine Bench Press",strength
Machine Chest Press Drop Set,chest,machine,compound,Drop Set Machine Press,strength
Machine Dip,chest,machine,compound,"Assisted Dip Machine, Dip Machine",strength
Medicine Ball Push Up,chest,other,compound,Med Ball Push Up,strength
Mid Cable Crossover,chest,cable,isolation,Mid Height Cable Cross,strength
Neutral Grip Dumbbell Bench Press,chest,dumbbell,compound,"Neutral Grip DB Bench, Hammer Grip DB Bench",strength
Parallette Push Up,chest,bodyweight,compound,P-Bar Push Up,bodyweight
Pause Cable Fly,chest,cable,isolation,Paused Cable Fly,strength
Pause Dip,chest,bodyweight,compound,Paused Dip,bodyweight
Pause Dumbbell Bench Press,chest,dumbbell,compound,Paused DB Bench,strength
Pause Incline Barbell Press,chest,barbell,compound,Paused Incline BB Press,strength
Pause Pec Deck,chest,machine,isolation,Paused Pec Deck,strength
Paused Bench Press,chest,barbell,compound,"Paused BB Bench, Pause Bench, Tempo Bench Press",strength
Pec Deck,chest,machine,isolation,"Pec Deck Fly, Pec Deck Machine, Machine Fly, Machine Flye, Butterfly Machine",strength
Pec Deck Drop Set,chest,machine,isolation,Drop Set Pec Deck,strength
Pin Press,chest,barbell,compound,"Rack Press, Dead Bench Press",strength
Planche Lean,chest,bodyweight,compound,Planche Push Up Lean,bodyweight
Plate Loaded Chest Press,chest,machine,compound,"Hammer Strength Chest Press, Plate Loaded Bench Press",strength
Plate Loaded Decline Chest Press,chest,machine,compound,Hammer Strength Decline Press,strength
Plate Loaded Decline Press,chest,machine,compound,Hammer Strength Decline,strength
Plate Loaded Incline Chest Press,chest,machine,compound,Hammer Strength Incline Press,strength
Plate Loaded Incline Press,chest,machine,compound,Hammer Strength Incline,strength
Plate Press,chest,other,isolation,"Plate Squeeze, Plate Pinch Press",strength
Push Up,chest,bodyweight,compound,"Push-Up, Pushup, Press Up, Press-Up",bodyweight
Rest Pause Bench Press,chest,barbell,compound,RP Bench,strength
Reverse Band Bench Press,chest,barbell,compound,Band Assisted Bench Press,strength
Reverse Grip Bench Press,chest,barbell,compound,"Reverse Grip BB Bench, Supinated Grip Bench",strength
Ring Dip,chest,bodyweight,compound,Gymnastics Ring Dip,bodyweight
Ring Dip to Support Hold,chest,bodyweight,compound,Ring Dip Hold,holds
Ring Fly,chest,bodyweight,isolation,Gymnastics Ring Fly,bodyweight
Ring Push Up,chest,bodyweight,compound,"Ring Push-Up, Gymnastics Ring Push Up",bodyweight
Ring Support Hold,chest,bodyweight,isolation,Gymnastics Ring Hold,holds
Single Arm Cable Chest Press,chest,cable,compound,One Arm Cable Press,strength
Single Arm Cable Fly,chest,cable,isolation,"Single Arm Cable Flye, One Arm Cable Fly",strength
Single Arm Dumbbell Bench Press,chest,dumbbell,compound,"Single Arm DB Bench, One Arm DB Bench, Unilateral DB Bench",strength
Single Arm Landmine Press,chest,barbell,compound,One Arm Landmine Press,strength
Single Arm Machine Chest Press,chest,machine,compound,One Arm Machine Press,strength
Smith Machine Bench Press,chest,machine,compound,"Smith Bench Press, Smith Machine Flat Bench",strength
Smith Machine Decline Bench Press,chest,machine,compound,Smith Decline Bench,strength
Smith Machine Floor Press,chest,machine,compound,Smith Floor Press,strength
Smith Machine Incline Bench Press,chest,machine,compound,"Smith Incline Bench, Smith Machine Incline Press",strength
Speed Bench Press,chest,barbell,compound,Dynamic Effort Bench,strength
Spiderman Push Up,chest,bodyweight,compound,Spider-Man Push Up,bodyweight
Spoto Press,chest,barbell,compound,Spoto Bench Press,strength
Staggered Push Up,chest,bodyweight,compound,Offset Push Up,bodyweight
Standing Cable Chest Press,chest,cable,compound,Standing Cable Press,strength
Standing Cable Fly,chest,cable,isolation,Standing Cable Flye,strength
Standing Single Arm Cable Press,chest,cable,compound,One Arm Standing Cable Press,strength
Svend Press,chest,other,isolation,Plate Squeeze Press,strength
Tempo Dip,chest,bodyweight,compound,Slow Dip,bodyweight
Tempo Dumbbell Bench Press,chest,dumbbell,compound,"Slow DB Bench Press, Tempo DB Bench",strength
Tempo Incline DB Press,chest,dumbbell,compound,Slow Incline DB Press,strength
Tempo Push Up,chest,bodyweight,compound,Slow Push Up,bodyweight
Trap Bar Floor Press,chest,barbell,compound,Hex Bar Floor Press,strength
TRX Chest Press,chest,bodyweight,compound,Suspension Chest Press,bodyweight
TRX Fly,chest,bodyweight,isolation,Suspension Fly,bodyweight
TRX Push Up,chest,bodyweight,compound,Suspension Push Up,bodyweight
Tuck Planche,chest,bodyweight,compound,Tuck Planche Hold,holds
Weighted Dip,chest,bodyweight,compound,"Weighted Chest Dip, Weighted Dips",strength
Weighted Push Up,chest,bodyweight,compound,Weighted Push-Up,strength
Wide Grip Bench Press,chest,barbell,compound,"Wide Grip BB Bench, Wide Bench Press",strength
Wide Grip Push Up,chest,bodyweight,compound,"Wide Push-Up, Wide Push Up",bodyweight
Wide Push Up on Medicine Ball,chest,other,compound,Med Ball Wide Push Up,strength
1.5 Rep Cable Row,back,cable,compound,One and Half Cable Row,strength
1.5 Rep Lat Pulldown,back,cable,compound,One and Half Pulldown,strength
1.5 Rep RDL,back,barbell,compound,One and Half RDL,strength
American Kettlebell Swing,back,kettlebell,compound,American KB Swing,strength
Archer Pull Up,back,bodyweight,compound,Archer Pull-Up,bodyweight
Assisted Pull Up Machine,back,machine,compound,"Assisted Pull Up, Gravitron, Pull Up Assist Machine",strength
Axle Bar Row,back,barbell,compound,Axle Row,strength
Back Lever Hold,back,bodyweight,isolation,Back Lever,holds
Band Deadlift Wide,back,band,compound,Wide Stance Band DL,strength
Band Face Pull,back,band,compound,Resistance Band Face Pull,strength
Band Lat Pulldown,back,band,compound,Resistance Band Pulldown,strength
Band Lat Pulldown Kneeling,back,band,compound,Kneeling Band Pulldown,strength
Band Pull Apart,back,band,isolation,"Resistance Band Pull Apart, Band Pull-Apart",strength
Band Pull Apart Overhead,back,band,isolation,Overhead Band Pull,strength
Band Resisted Chin Up,back,band,compound,Banded Chin Up,strength
Band Row,back,band,compound,"Resistance Band Row, Banded Row",strength
Banded Barbell Deadlift,back,barbell,compound,Band Resisted Deadlift,strength
Banded Deadlift,back,band,compound,Resistance Band Deadlift,strength
Banded Deadlift Heavy,back,barbell,compound,Band Resisted Heavy Deadlift,strength
Banded Good Morning,back,band,compound,"Band Good Morning, Resistance Band Good Morning",strength
Banded Pull Up,back,band,compound,"Resistance Band Pull Up, Band Assisted Pull Up",strength
Barbell Hip Hinge,back,barbell,compound,"Hip Hinge, BB Hip Hinge",strength
Barbell Row,back,barbell,compound,"BB Row, Bent Over Row, Bent Over BB Row, Barbell Bent Over Row, Pendlay Row",strength
Barbell Row to Chest,back,barbell,compound,Chest Row,strength
Barbell Shrug,back,barbell,isolation,"BB Shrug, Shrug, Barbell Shoulder Shrug",strength
Barbell Upright Row to Shrug,back,barbell,compound,Upright Row Shrug Combo,strength
Behind Neck Pull Up,back,bodyweight,compound,Behind the Neck Pull Up,bodyweight
Behind the Back Barbell Shrug,back,barbell,isolation,Behind Back Shrug,strength
Behind the Neck Lat Pulldown,back,cable,compound,Behind Neck Pulldown,strength
Block Sumo Deadlift,back,barbell,compound,Sumo Block Pull,strength
Cable Face Pull to External Rotation,back,cable,compound,Face Pull ER Back,strength
Cable Pull Through,back,cable,compound,"Pull Through, Cable Pull-Through",strength
Cable Pullover,back,cable,isolation,Straight Arm Cable Pullover,strength
Cable Row,back,cable,compound,"Seated Cable Row, Seated Row, Cable Seated Row, Low Row",strength
Cable Row Drop Set,back,cable,compound,Drop Set Cable Row,strength
Cable Row to Face Pull,back,cable,compound,Row Face Pull Combo,strength
Cable Shrug,back,cable,isolation,Cable Shoulder Shrug,strength
Cable Shrug Behind Back,back,cable,isolation,Behind Back Cable Shrug,strength
Cable W Pull,back,cable,isolation,W Cable Pull,strength
Chain Deadlift,back,barbell,compound,Deadlift with Chains,strength
Chest Supported Barbell Row,back,barbell,compound,Seal BB Row,strength
Chest Supported Cable Row,back,cable,compound,Chest Supported Cable,strength
Chest Supported Dumbbell Row,back,dumbbell,compound,"Chest Supported DB Row, Incline DB Row, Seal Row DB",strength
Chest Supported Machine Row,back,machine,compound,Chest Supported Row Machine,strength
Chest Supported Row Machine,back,machine,compound,Supported Row Machine,strength
Chest Supported T-Bar Row,back,barbell,compound,Chest Supported T Bar Row,strength
Chest Supported T-Bar Row Neutral,back,barbell,compound,Neutral T-Bar Row,strength
Child's Pose,back,bodyweight,isolation,Childs Pose,holds
Chin Up,back,bodyweight,compound,"Chin-Up, Chinup, Supinated Pull Up",bodyweight
Clean Grip Deadlift,back,barbell,compound,Clean Deadlift,strength
Close Grip Cable Row,back,cable,compound,"V-Bar Cable Row, V Bar Row",strength
Close Grip Cable Row V-Handle,back,cable,compound,V-Handle Close Row,strength
Close Grip Chin Up,back,bodyweight,compound,Narrow Chin Up,bodyweight
Close Grip Lat Pulldown,back,cable,compound,"Close Grip Pulldown, Narrow Grip Pulldown, V-Bar Pulldown, V Bar Lat Pulldown",strength
Close Grip Pull Up,back,bodyweight,compound,"Close Grip Pull-Up, Narrow Grip Pull Up",bodyweight
Commando Pull Up,back,bodyweight,compound,Commando Pull-Up,bodyweight
Conventional Deadlift,back,barbell,compound,"Deadlift, BB Deadlift, Barbell Deadlift, DL",strength
D-Handle Cable Row,back,cable,compound,D Handle Row,strength
Deficit Barbell Row,back,barbell,compound,Deficit BB Row,strength
Deficit DB Row,back,dumbbell,compound,Elevated DB Row,strength
Deficit Deadlift,back,barbell,compound,Deficit DL,strength
Deficit Dumbbell RDL,back,dumbbell,compound,Deficit DB RDL,strength
Deficit Sumo Deadlift,back,barbell,compound,Deficit Sumo DL,strength
Diverging Lat Pulldown Machine,back,machine,compound,Diverging Pulldown,strength
Double Kettlebell Row,back,kettlebell,compound,Double KB Row,strength
Dumbbell Bent Over Row,back,dumbbell,compound,"DB Bent Over Row, Two Arm DB Row, Bilateral DB Row",strength
Dumbbell Deadlift,back,dumbbell,compound,DB Deadlift,strength
Dumbbell Good Morning,back,dumbbell,compound,DB Good Morning,strength
Dumbbell Romanian Deadlift,back,dumbbell,compound,"DB RDL, Dumbbell RDL, DB Romanian Deadlift",strength
Dumbbell Row,back,dumbbell,compound,"DB Row, One Arm Dumbbell Row, Single Arm DB Row, One Arm DB Row, DB Bent Over Row",strength
Dumbbell Seal Row,back,dumbbell,compound,DB Seal Row,strength
Dumbbell Shrug,back,dumbbell,isolation,"DB Shrug, Shoulder Shrug",strength
Dumbbell Shrug to Row,back,dumbbell,compound,Shrug to Row,strength
Dumbbell Sumo Deadlift,back,dumbbell,compound,Sumo DB DL,strength
Eccentric Chin Up,back,bodyweight,compound,Negative Chin Up,bodyweight
Eccentric Pull Up,back,bodyweight,compound,Negative Pull Up,bodyweight
Face Pull,back,cable,compound,"Cable Face Pull, Rope Face Pull",strength
Farmer Carry Shrug,back,dumbbell,isolation,Farmer Walk Shrug,strength
Foam Roll Lats,back,other,isolation,Lat Foam Roll,strength
Foam Roll Thoracic,back,other,isolation,T-Spine Foam Roll,strength
Front Lever Hold,back,bodyweight,compound,Front Lever,holds
Front Lever Row,back,bodyweight,compound,FL Row,bodyweight
Good Morning,back,barbell,compound,"BB Good Morning, Barbell Good Morning",strength
Gorilla Row,back,kettlebell,compound,KB Gorilla Row,strength
Half Kneeling Cable Row,back,cable,compound,Kneeling Cable Row,strength
Half Kneeling Single Arm Pulldown,back,cable,compound,Kneeling One Arm Pulldown,strength
Halting Deadlift,back,barbell,compound,Halting DL,strength
Helms Row,back,dumbbell,compound,Prone Incline DB Row,strength
High Cable Row,back,cable,compound,Cable High Row,strength
Hyperextension,back,bodyweight,isolation,"Back Extension, Hyper Extension, 45 Degree Back Extension, Roman Chair Extension",bodyweight
Hyperextension with Rotation,back,bodyweight,isolation,Twisting Hyperextension,bodyweight
Incline DB Shrug,back,dumbbell,isolation,Incline Dumbbell Shrug,strength
Incline Lever Row Machine,back,machine,compound,Lever Incline Row,strength
Inverted Row,back,bodyweight,compound,"Body Row, Bodyweight Row, Australian Pull Up, Ring Row",bodyweight
Iso Hold Pull Up,back,bodyweight,compound,Static Hold Pull Up,holds
Iso Lateral Lat Pulldown Machine,back,machine,compound,ISO Lat Pulldown,strength
Iso Lateral Row Machine,back,machine,compound,ISO Lateral Row,strength
Jefferson Curl,back,other,isolation,Weighted Jefferson Curl,strength
Jefferson Deadlift,back,barbell,compound,Jefferson DL,strength
Kayak Row,back,cable,compound,Cable Kayak Row,strength
Kettlebell Deadlift,back,kettlebell,compound,KB Deadlift,strength
Kettlebell Renegade Row,back,kettlebell,compound,KB Renegade Row,strength
Kettlebell Row,back,kettlebell,compound,"KB Row, Single Arm KB Row",strength
Kettlebell Swing,back,kettlebell,compound,"KB Swing, Russian Kettlebell Swing, Russian KB Swing, Two Hand KB Swing",strength
Kneeling Cable Pulldown,back,cable,compound,Kneeling Pulldown,strength
Kroc Row,back,dumbbell,compound,"Heavy DB Row, Kroc Dumbbell Row",strength
L-Sit Pull Up,back,bodyweight,compound,L Sit Pull Up,bodyweight
Landmine Deadlift,back,barbell,compound,Landmine DL,strength
Landmine Romanian Deadlift,back,barbell,compound,Landmine RDL,strength
Landmine Row Single Arm,back,barbell,compound,One Arm Landmine Row,strength
Lat Focused Pulldown,back,cable,compound,Lat Pulldown Focused,strength
Lat Prayer Cable,back,cable,isolation,Cable Lat Prayer,strength
Lat Pulldown,back,cable,compound,"Lat Pull Down, Cable Pulldown, Wide Grip Pulldown, Wide Grip Lat Pulldown",strength
Lat Pulldown Drop Set,back,cable,compound,Drop Set Pulldown,strength
Lengthened Partial Lat Pulldown,back,cable,compound,Stretch Focused Pulldown,strength
Machine High Row,back,machine,compound,High Row Machine,strength
Machine Lat Pulldown,back,machine,compound,"Plate Loaded Pulldown, Hammer Strength Pulldown",strength
Machine Lat Pulldown Single Arm,back,machine,compound,Single Arm Machine Pulldown,strength
Machine Low Row,back,machine,compound,Low Row Machine,strength
Machine Pullover,back,machine,isolation,Nautilus Pullover,strength
Machine Pullover Nautilus,back,machine,isolation,Nautilus Pullover Machine,strength
Machine Row,back,machine,compound,"Seated Machine Row, Row Machine",strength
Machine Row Neutral Grip,back,machine,compound,Neutral Grip Machine Row,strength
Machine Row Wide Grip,back,machine,compound,Wide Machine Row,strength
Machine Shrug,back,machine,isolation,Machine Shoulder Shrug,strength
Meadows Row,back,barbell,compound,"Landmine Meadows Row, One Arm Landmine Row",strength
Meadows Row Dumbbell,back,dumbbell,compound,DB Meadows Row,strength
Meadows Shrug,back,barbell,isolation,Landmine Shrug,strength
Mixed Grip Pull Up,back,bodyweight,compound,Alternating Grip Pull Up,bodyweight
Muscle Up,back,bodyweight,compound,"Bar Muscle Up, Bar Muscle-Up",bodyweight
Neutral Grip DB Row,back,dumbbell,compound,Hammer Grip DB Row,strength
Neutral Grip Lat Pulldown,back,cable,compound,"Neutral Grip Pulldown, Hammer Grip Pulldown",strength
Neutral Grip Pull Up,back,bodyweight,compound,"Neutral Grip Pullup, Hammer Grip Pull Up",bodyweight
Pause at Knee Deadlift,back,barbell,compound,Pause Below Knee DL,strength
Pause Barbell Row,back,barbell,compound,Paused BB Row,strength
Pause DB Row,back,dumbbell,compound,Paused Dumbbell Row,strength
Pause Lat Pulldown,back,cable,compound,Paused Pulldown,strength
Pause RDL,back,barbell,compound,Paused Romanian Deadlift,strength
Paused Deadlift,back,barbell,compound,"Pause DL, Dead Stop Deadlift",strength
Pendlay Row,back,barbell,compound,"Strict Barbell Row, Dead Stop Row",strength
Pendlay Row Pause,back,barbell,compound,Paused Pendlay Row,strength
Plate Loaded High Row,back,machine,compound,Hammer Strength High Row,strength
Plate Loaded Iso Row,back,machine,compound,Hammer Strength ISO Row,strength
Plate Loaded Lat Pulldown,back,machine,compound,Plate Loaded Pulldown Machine,strength
Plate Loaded Low Row,back,machine,compound,Hammer Strength Low Row,strength
Plate Loaded Row,back,machine,compound,Hammer Strength Row,strength
Plate Loaded Row Machine,back,machine,compound,Plate Row Machine,strength
Plate Loaded Shrug Machine,back,machine,isolation,Shrug Machine,strength
Plate Row,back,other,compound,Plate Bent Over Row,strength
Power Shrug,back,barbell,compound,Explosive Shrug,strength
Pronated Cable Row,back,cable,compound,Overhand Cable Row,strength
Pronated Lat Pulldown,back,cable,compound,Overhand Pulldown,strength
Prone Trap Raise,back,dumbbell,isolation,"Prone Y Raise, Y Raise",strength
Pull Up,back,bodyweight,compound,"Pull-Up, Pullup, Strict Pull Up",bodyweight
Rack Pull,back,barbell,compound,"Rack Deadlift, Block Pull",strength
Rack Pull Above Knee,back,barbell,compound,Above Knee Rack Pull,strength
Rack Pull Below Knee,back,barbell,compound,Below Knee Rack Pull,strength
Renegade Row,back,dumbbell,compound,"Plank Row, Renegade DB Row",strength
Reverse Band Deadlift,back,barbell,compound,Band Assisted Deadlift,strength
Reverse Grip Lat Pulldown,back,cable,compound,"Underhand Lat Pulldown, Supinated Pulldown, Reverse Grip Pulldown",strength
Reverse Grip Machine Row,back,machine,compound,Underhand Machine Row,strength
Reverse Hyperextension,back,machine,isolation,"Reverse Hyper, Rev Hyper",strength
Ring Archer Pull Up,back,bodyweight,compound,Ring Archer,bodyweight
Ring Face Pull,back,bodyweight,compound,Ring Face Pull Exercise,bodyweight
Ring Muscle Up,back,bodyweight,compound,Gymnastics Ring Muscle Up,bodyweight
Romanian Deadlift,back,barbell,compound,"RDL, BB RDL, Barbell RDL, Barbell Romanian Deadlift, Stiff Leg Deadlift",strength
Rope Cable Row,back,cable,compound,Rope Seated Row,strength
Safety Bar Good Morning,back,barbell,compound,SSB Good Morning,strength
Sandbag Deadlift,back,other,compound,Sand Bag Deadlift,strength
Sandbag Row,back,other,compound,Sand Bag Row,strength
Scapular Pull Up,back,bodyweight,isolation,"Scap Pull Up, Scapula Pull Up",bodyweight
Seal Row,back,barbell,compound,"Bench Supported Row, Prone Row",strength
Seated Dumbbell Shrug,back,dumbbell,isolation,Seated DB Shrug,strength
Seated Forward Fold,back,bodyweight,isolation,Hamstring Stretch Seated,holds
Seated Good Morning,back,barbell,compound,Seated BB Good Morning,strength
Single Arm Barbell Row,back,barbell,compound,One Arm BB Row,strength
Single Arm Cable Row,back,cable,compound,"One Arm Cable Row, Unilateral Cable Row",strength
Single Arm Kettlebell Swing,back,kettlebell,compound,"One Arm KB Swing, Single Arm KB Swing",strength
Single Arm Lat Pulldown,back,cable,compound,"One Arm Lat Pulldown, Unilateral Pulldown",strength
Single Arm Lat Pulldown Machine,back,machine,compound,One Arm Machine Pulldown,strength
Single Arm Machine Row,back,machine,compound,One Arm Machine Row,strength
Single Leg Deadlift Barbell,back,barbell,compound,"BB Single Leg Deadlift, Single Leg BB DL",strength
Single Leg Deadlift to Row,back,dumbbell,compound,SL RDL to Row,strength
Single Leg Romanian Deadlift,back,dumbbell,compound,"Single Leg RDL, SL RDL, One Leg RDL, Unilateral RDL",strength
Skin the Cat,back,bodyweight,compound,Skin the Cat Rings,bodyweight
Smith Machine Deadlift,back,machine,compound,Smith Deadlift,strength
Smith Machine Row,back,machine,compound,Smith Machine Bent Over Row,strength
Smith Machine Shrug,back,machine,isolation,Smith Shrug,strength
Snatch Grip Barbell Row,back,barbell,compound,Snatch Grip Row,strength
Snatch Grip BB Shrug,back,barbell,isolation,Wide Grip Shrug,strength
Snatch Grip Deadlift,back,barbell,compound,Snatch DL,strength
Snatch Grip Deadlift from Deficit,back,barbell,compound,Deficit Snatch DL,strength
Speed Deadlift,back,barbell,compound,Dynamic Effort Deadlift,strength
Staggered Stance RDL,back,dumbbell,compound,"B-Stance RDL, B Stance Deadlift, Staggered RDL",strength
Standing Good Morning,back,barbell,compound,Standing BB Good Morning,strength
